description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"Just wonderful, showing the great richness and complexity of a top Santa Rita Pinot Noir. Partial whole-cluster fermentation gives the wine a spicy earthiness and full-bodied tannins, yet the underlying red berry and cherry fruit shines through. Showing well now and over the next six years.",wine_taster,3,48,291,6.0625,7,11,8,5,10,3,28,10,8,3,6,14,7,15.124375,3,60.416666666666664
"This full-bodied wine opens with compelling aromas of black fruit, smoked bacon, leather, cinnamon and crushed clove. There's a sassy, spicy characteristic here that is further underlined by the wine's natural sweetness and roundness.",wine_taster,5,37,234,6.324324324324325,7,12,6,6,7,2,23,21,7,3,4,12,1,17.607567567567564,3,75.67567567567568
"Austere, tight and sophisticated, this well-extracted Brunello shows dry aromas of crushed granite along with ethereal tones of dried ginger, black licorice and root beer. Inky appearance with chewy richness. The mouthfeel is round, chewy and packed with sweet fruit and spice. Drink after 2015.",wine_taster,6,46,295,6.413043478260869,9,13,11,5,11,4,31,4,7,3,6,13,3,14.525434782608691,1,65.21739130434783
"One sip is all it takes to know this is a terrific Pinot Noir. It's dry, silky and complex, and not only that, it will develop bottle nuance over the next six years. Rich and flamboyant in cherry pie filling, persimmon and mushu-plum sauce flavors, yet layered with earthy, foresty notes of mushrooms, soy sauce and balsam. You can drink it now, but give it an hour or two of decanting.",wine_taster,5,73,386,5.287671232876712,13,17,8,13,9,4,31,15,12,2,4,29,5,12.599931506849316,3,57.534246575342465
"While the texture of this Pinot is silky and light, it's dramatic in flavor. The cherries, plums, pomegranates and persimmons are packed together into a dense core of taste, all spiced up with cinnamon, cloves and anise. Feels dramatic and complex, but young and fresh in acids and tannins. Give it 5–6 years.",wine_taster,2,55,309,5.618181818181818,10,15,4,6,8,4,28,5,9,3,1,23,5,11.906636363636359,1,54.54545454545454
"This successful riserva displays opulence and a bold, modern style that focuses on bright cherry and savory spice aromas. The wine is loaded with density and richness, and combines a ripe soft feel with a lively berries on the finish.",wine_taster,5,40,234,5.85,4,14,7,4,8,2,23,21,6,3,3,16,2,16.1235,0,65.0
"While the aromas of this young wine reveal considerable toast, on the palate the wine brings forward the ripe apricot and mango flavors to go with that wood. As it matures, these elements will coalesce with the taut, tense mineral texture into an superb, ageworthy terroir-driven wine.",wine_taster,7,48,285,5.9375,7,16,12,6,6,2,30,25,10,2,3,20,1,18.535625000000003,0,58.333333333333336
"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",wine_taster,3,28,182,6.5,4,10,5,1,10,2,16,16,4,1,5,9,1,16.184999999999995,0,75.0
"The vineyard is in the coolest part of the Green Valley of the Russian River Valley. The wine, which is totally dry, is marked by brilliant acidity and long hangtime flavors of oranges, Meyer lemons and kiwi fruit, enriched by barrel fermentation and aging.",wine_taster,5,44,257,5.840909090909091,6,13,10,5,5,2,33,17,11,4,4,18,8,17.080681818181823,1,54.54545454545454
"Here's a gorgeous wine with a deep, inky color and super extraction that is elegant but powerful at the same time. This is a balanced wine, but it's also an intense wine, with loads of ripe fruit, spice and tobacco. It feels smooth and rich, with a finely crafted texture that is velvety and supple.",wine_taster,5,57,299,5.245614035087719,8,12,8,7,15,3,24,17,6,2,3,25,1,12.776842105263157,3,64.91228070175438
"This is a lovely Brunello with black cherry, plum, smoke, bacon, leather and a drying touch of crushed mineral on the nose. It is rich and concentrated, with a slightly sweet-smelling bouquet. The mouthfeel is compact, tight and polished—but there is excellent length too.",wine_taster,3,46,272,5.913043478260869,11,11,8,7,9,4,27,7,8,3,2,19,3,12.170434782608694,3,65.21739130434783
"Inky color, with a broad array of aromas, including earth, candied fruit, plum cake and cinnamon spice. Smooth and luscious in the mouth, where its tight structure shows promising potential for longevity.",wine_taster,2,32,204,6.375,7,13,7,4,6,2,22,17,9,2,2,10,1,16.596250000000005,1,75.0
"A terrific Pinot Noir, from a winery compiling a serious track record. Grown on the Napa side of Carneros, the wine shows classic Primo's Hill character, with the blackberry pie, cola, mushu plum and sandalwood flavors accented by a little more acidity than usual. Defined by elegance and complexity, it's an ager, although it's beautiful now right out of the bottle. Should easily develop through 2015.",wine_taster,3,69,403,5.840579710144928,11,18,11,9,7,4,38,6,11,3,3,24,8,14.704130434782606,3,53.62318840579711
"This is a big, mouthfilling Cabernet, rich and voluptuous in fruit. Although it's a bit hot in alcohol, you hardly notice it, with the explosion of blackberries, raisins and chocolate-covered cherries, made even richer by smoky-sweet oak. Delicious now and through 2014.",wine_taster,3,45,270,6.0,11,9,4,6,7,3,36,6,8,4,4,16,3,14.329999999999998,3,55.55555555555556
"A bit disjointed, with acidity sticking out, and the fruit tending toward jammy blackberries, raspberries and nectarines, leading to sharpness in the finish. Could mellow and improve in a couple years.",wine_taster,3,31,201,6.483870967741935,6,10,4,6,2,2,28,9,8,3,2,11,1,16.85903225806451,0,58.06451612903226
"A good Cab, chockful of grilled blackberry, cassis, cocoa and sweet smoky oak flavors that finish rich and spicy. Has some real elegance, at an affordable price.",wine_taster,4,27,161,5.962962962962963,6,8,5,3,8,2,23,10,6,2,6,9,2,13.405555555555559,0,70.37037037037037
"Chunky, broad and slightly rubbery smelling, with baked aromas, leather and other more serious scents. The palate is full-bodied and warm, but not all that complex. Flavors of baked plums, cassis and licorice are nice, and the finish brings chocolate brownie into the game. For immediate drinking.",wine_taster,4,48,297,6.1875,11,14,8,4,11,4,21,4,8,2,2,20,4,13.713124999999998,4,68.75
"Rich, savory and appealing now for its smooth texture and forward flavors of cherries, raspberries, blackberries and oak. A lovely wine for grilled steaks and chops.",wine_taster,3,26,165,6.346153846153846,5,10,4,2,5,2,22,9,7,1,4,10,1,14.960384615384612,1,69.23076923076923
"Not a wine for the faint of heart. Alluring notes of raspberry, blackberry, smoke and coconut set the scene for powerful flavors of strawberry and black pepper in the mouth. Tannins are abundant but polished. The finish is a bit of a disappointment, with a whisper of astringency and a huge hit of coconut. Still, well done and fairly priced. Drink with steak.",wine_taster,6,63,360,5.714285714285714,10,22,13,6,6,6,25,4,10,1,3,28,5,10.734285714285711,4,60.317460317460316
"Pro Nobis is a good example of the Ruché grape (a mysterious variety from Piedmont with some similarities to Brachetto). The wine offers aromas of wild berries and blue violets, backed by medium consistency and bright acidity. Pair it with cheesy pasta dishes.",wine_taster,3,43,260,6.046511627906977,6,13,11,4,6,3,23,7,4,1,2,15,7,14.215736434108528,0,53.48837209302325
"86-88 Barrel sample. Densely structured wine, all rich plums and berry fruit flavors. There is a strong amount of wood, but it is the juicy, just green, character of the wine which is most prominent.",wine_taster,4,36,199,5.527777777777778,8,10,7,3,7,3,26,6,4,3,5,16,3,10.60583333333333,4,66.66666666666666
"86-88 Barrel sample An aroma that is almost port-like in its sweetness. To taste, the structure is lost in a swathe of ripeness that covers the fruit.",wine_taster,2,29,150,5.172413793103448,5,8,5,5,4,2,17,17,4,4,1,13,2,10.182068965517242,1,62.06896551724138
"Tonic and fresh with vibrant tones of wild berry and forest floor, there is a rustic, almost savage quality to this wine that is really quite attractive. It would pair well with home-cooked meals of hand-kneaded pasta or boiled meats.",wine_taster,1,42,234,5.571428571428571,6,11,7,7,8,2,30,18,6,2,8,15,1,15.311428571428571,5,73.80952380952381
"86-88 Barrel sample. Firm, with a bitter, tight edge, this has high acidity, spice, and a tight layer of tannins. For a second wine, this is not that accessible.",wine_taster,2,30,161,5.366666666666666,10,8,5,2,6,3,23,6,6,1,4,13,3,8.846999999999998,2,60.0
"One of Italy's most interesting and least-know wines, Sforzato di Valetellina is made with dried Nebbiolo grapes in much the same way Amarone is made. In fact, sforzato means “forced” in Italian and alludes to the extra concentration given to the wine. With herbal and some bitter, leafy green notes, it's not a wine for everyone; it's sour in the mouth with an acid-driven close.",wine_taster,3,70,380,5.428571428571429,12,12,10,13,10,3,31,21,6,3,5,26,5,15.805238095238096,3,54.285714285714285
"There's a tonic quality to this Pinot Nero that combines ashy mineral notes with wild berries, toasted almonds and blue flowers. There's also a warm, sun-drenched quality that adds to the overall intensity and concentration.",wine_taster,1,38,224,5.894736842105263,5,11,7,6,7,2,24,19,7,3,4,11,2,15.834210526315793,3,71.05263157894737
"86-88 Barrel sample. Despite its initial edge of bitterness, this develops as a dense wine, packed with dark high toast and blackberry jelly flavors. The final bite of high extract spoils the finish.",wine_taster,3,34,199,5.852941176470588,6,10,8,3,7,3,24,6,6,2,5,10,3,11.804019607843138,1,61.76470588235294
"This is the lightest of the Grüners from Proidl, offering a refreshing burst of crisp acidity along with the freshest spice. There is a fine tang of lemon, to keep the whole wine as bright as possible.",wine_taster,2,38,201,5.2894736842105265,4,6,6,4,8,2,23,18,3,2,4,18,4,12.983421052631577,2,52.63157894736842
"Andy Beckstoffer is starting to release wines from his Red Hills vineyards, and this release is promising, especially at this price. It's fruity and tasty in blackberries and cherries, while oak adds rich notes of caramel and vanilla. Rich and savory, this Cab delivers lots to like.",wine_taster,4,48,283,5.895833333333333,7,14,6,8,4,3,24,11,4,4,2,18,5,14.339374999999997,1,56.25
"Here's a lusty, rugged Zinfandel marked by strong, superripe flavors. The blackberries and plums veer into currants and raisins, and finish spicy and dry, while enormously high alcohol gives the impression of heat. But that's Zinfandel for you. Needs a grilled flank steak to play against.",wine_taster,3,48,289,6.020833333333333,8,13,6,7,6,4,26,7,10,1,2,15,5,12.928125000000001,2,58.333333333333336
"Made in a lighter style, this silky Pinot Noir has crisp acidity accentuating flavors of cherries, red licorice and cola. It's an elegant wine for drinking now.",wine_taster,3,28,160,5.714285714285714,4,7,5,5,5,2,23,9,6,3,4,8,3,12.484285714285711,1,64.28571428571429
"Here's a big, bold Zinfandel that shows the variety's rustic, briary character. It's dry and tannic and rather high in alcohol, with flavors of wild, ripe forest berries, peppery spices, currants, bacon and sweet, smoky cedar. Nice now with BBQ.",wine_taster,4,43,245,5.6976744186046515,11,11,5,3,13,3,32,5,9,1,7,11,2,12.572713178294578,3,69.76744186046511
"Rich in fruit and oak, but balanced with crisp acidity. It's strongly flavored, brimming with pineapple jam, white peach, apricot, buttered toast and vanilla. Gets the Chardonnay job done with some elegance.",wine_taster,4,33,207,6.2727272727272725,8,11,4,7,4,3,20,9,6,4,1,9,3,13.614545454545457,1,69.6969696969697
"A very nice Bordeaux-style blend ready to drink now. It's soft, dry and complex, offering waves of blackberries, black currants, blueberries, cedar and herbs, wrapped into fine, rich tannins.",wine_taster,3,31,191,6.161290322580645,10,9,3,4,8,2,29,12,7,3,6,7,0,15.339677419354835,2,74.19354838709677
"Smoke and struck-flint notes add a dark tone to this savory, herb-inflected white wine. The palate is round and rich, and finishes with a reverberating hint of salt and bitter lemon rind.",wine_taster,3,34,187,5.5,6,13,7,4,6,2,20,20,5,2,4,12,2,12.975000000000001,0,67.64705882352942
"Crisp. dry and fruity, this wine has a light touch of citrus and fresh acidity. Fruity with a slight sparkle, it's an ideal apéritif.",wine_taster,4,26,133,5.115384615384615,5,8,5,2,5,3,18,5,5,1,3,9,2,6.996794871794869,0,57.692307692307686
"Sweet-pea and citrus flavors are pleasant, along with a welcome touch of creamy oak for richness. But there's also hints of green, unripe fruit in this dry, crisp Sauvignon Blanc.",wine_taster,5,32,179,5.59375,6,8,5,2,8,2,20,18,6,1,4,10,3,12.916562500000005,2,62.5
"Oak dominates the overall character of this wine, with forward notes of toasted wood, tobacco leaf, roasted coffee bean and a hint of plum. There's more wood than fruit here.",wine_taster,4,31,174,5.612903225806452,5,12,8,3,4,2,28,8,10,2,3,10,1,12.756774193548388,2,67.74193548387096
"Made from Sangiovese and a bit of Colorino, this has an earthy nose of truffle and underbrush, with a hint of iris and a whiff of leather. Reflecting the forward nature of the vintage, the palate is soft and warm, with sweet wild cherry, plum and round tannins. Drink soon.",wine_taster,4,50,273,5.46,8,14,8,5,7,3,30,3,8,2,1,23,5,12.619933333333336,1,54.0
"There's no denying the fact that this smells stalky and burnt, with leathery fruit aromas. In the mouth, it's choppy, with scratchy acidity leading to a loud flavor profile with stalky berry, raisin and stewed flavors. Heat and additional roasted notes drive the finish on this Malbec.",wine_taster,7,49,285,5.816326530612245,7,15,9,7,7,3,26,12,8,2,4,17,2,14.131564625850338,1,61.224489795918366
"This blend of undisclosed varieties is a charming red wine to drink now. It's dry, smooth and ripe in blackberry, cherry, currant and spice flavors. Beef is its natural partner.",wine_taster,6,31,177,5.709677419354839,6,10,5,4,8,3,17,6,5,1,3,10,2,10.62924731182796,1,74.19354838709677
"Light in color, this is a fruity, softly tannic and lightweight wine. It brings out red fruits that are now maturing, giving spice and a touch of pepper with final acidity. Drink now.",wine_taster,4,33,183,5.545454545454546,6,9,5,6,5,3,21,3,5,4,3,14,2,10.189090909090911,3,69.6969696969697
"There is loads of freshly crushed black pepper in this dry, robust Zin. It's almost enough to make you sneeze. You'll also find good blackberry fruit and heady alcohol. Drink up.",wine_taster,4,33,178,5.393939393939394,5,6,4,7,6,4,15,3,2,2,3,8,3,8.100454545454543,4,69.6969696969697
"Light to the point of being a bit dilute, this Viognier has a cotton-candy character, like spun sugar around rhubarb. The tart, not quite fully ripe fruit brings it to a quick, acidic finish.",wine_taster,5,35,191,5.457142857142857,7,12,7,3,4,2,25,17,9,2,1,13,3,13.023142857142858,3,62.857142857142854
"This shows delicate floral aromas along with dominant bell pepper and sawdust sensations. The palate is dominated by oaky flavors of roasted coffee beans and espresso, giving the wine an anonymous personality and style.",wine_taster,4,34,219,6.4411764705882355,3,13,8,4,6,2,23,14,8,3,3,11,2,17.407941176470594,0,67.64705882352942
"Aged mostly in stainless steel with a touch of new French oak (10%), this has notes of toast and char along with freshly cut mango. It's on the lighter side of medium bodied, drinking just a hair off dry with a bitter note on the finish.",wine_taster,4,47,237,5.042553191489362,7,12,8,5,8,2,30,24,8,3,3,19,1,14.0704255319149,4,61.702127659574465
"Albariño is a fragile style of white wine and some just don't age well. This is one of those wines; it's slightly past peak maturity, as evidenced by wheaty, yeasty aromas. The palate finishes with a hint of bitter citrus pith.",wine_taster,3,44,227,5.159090909090909,6,11,8,7,5,3,22,11,6,3,1,16,2,10.202651515151516,4,61.36363636363637
"After opening with reedy, stalky aromas, this is raw and choppy on the palate. Flavors of herbal red plum and rhubarb conclude with tight, edgy acids and a bit of burn and heat. This is fresh and generally pretty good, but it lacks Toro's usual richness and power.",wine_taster,3,49,264,5.387755102040816,7,13,5,5,9,3,21,17,7,1,4,20,2,12.11299319727891,2,59.183673469387756
"This is a rustic but likeable wine. It's dry, tannic and full-bodied, with good varietal flavors of black currants, dark chocolate and sweet, smoky oak. Drink soon.",wine_taster,7,29,164,5.655172413793103,8,5,5,3,12,3,26,3,4,1,10,8,2,10.039195402298848,1,72.41379310344827
"From a very hot and difficult vintage, this Chianti Classico has unusual aromas of dill, thyme and toasted oak that carry over to the palate. It's already evolved with a short finish.",wine_taster,4,33,183,5.545454545454546,4,7,6,5,5,2,28,9,6,3,4,14,3,12.939090909090915,2,57.57575757575758
"The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. Here, it incorporates all of Cab Franc's leafy herbaceousness and Zweigelt's tart, cranberry flavors in a refreshing wine. It's delicate in concentration, but easy drinking, with lots of green, grassy notes on the finish.",wine_taster,4,49,296,6.040816326530612,8,10,8,3,8,3,23,13,3,1,4,17,8,15.188911564625847,1,44.89795918367347
"This meaty, oaky Sauvignon Blanc, with a trace of Semillon, is slightly bitter with grassy and lemony aromas and flavors coming to the fore.",wine_taster,2,24,140,5.833333333333333,4,7,5,2,2,1,28,28,7,2,2,10,4,18.044999999999995,1,50.0
"A common, country-style wine, rich in cherries, cola and spices, with lusty tannins. It's lush and simple, but will rise to the occasion with a cheeseburger. The blend is Zinfandel, Petite Sirah and Graciano.",wine_taster,1,36,208,5.777777777777778,10,10,6,4,5,3,20,10,7,0,3,14,5,11.783333333333331,0,52.77777777777778
"This is exceedingly ripe tasting, with a syrupy texture. Along the way, you'll encounter tar and rubber aromas in front of flavors such as carob, vanilla and stewed berry fruits. A minty, oaky finish is the final weighty act.",wine_taster,5,40,225,5.625,7,15,7,4,7,3,25,11,10,2,2,14,1,11.730416666666663,1,67.5
"Earthy with hints of roasted nuts and dried herb, this is a uniquely savory Sauvignon that would pair well with herb-accented fowl and fish. The palate is round and rich, but balanced with brisk lime acidity and a characteristic grassiness on the finish.",wine_taster,3,44,254,5.7727272727272725,5,11,7,7,8,2,28,21,6,5,4,18,3,16.759545454545453,2,63.63636363636363
"This deeply saturated wine opens with a nice balance of ripe, chewy fruit, vanilla and spice. The wine promises to evolve over time, giving more space to the mineral nuances you can already detect now. Tones of licorice, black spice and clove are lively and intense in the mouth.",wine_taster,6,49,279,5.6938775510204085,7,14,7,8,8,3,21,16,5,5,1,19,3,13.55482993197279,3,67.3469387755102
"An atypically light, delicate style of Riesling for the Pfalz, with lime and floral notes on the nose and a filigreed interplay of residual sugar and lithe acidity that lingers on the finish.",wine_taster,4,33,191,5.787878787878788,3,9,8,1,6,1,36,36,9,1,6,15,2,22.330909090909095,1,51.515151515151516
"Pian delle Vigne's 2004 Brunello is worlds apart from the scorching hot 2003 vintage—so different, in fact, the wine seems utterly reborn. You can smell those hallmark Sangiovese aromas: cherry, blue flower and wet earth, and taste the variety's elegant acidity.",wine_taster,4,44,262,5.954545454545454,8,12,8,6,8,2,28,24,5,3,4,11,4,17.615909090909092,3,65.9090909090909
"Bold and modern, Fonterutoli delivers the goods year after year. The wine is rich and plush with deep concentration and excellent intensity. You'll get aromas of bright cherry and some spice but what makes the wine stand apart is the clarity and purity of its aromas.",wine_taster,5,47,267,5.680851063829787,4,14,9,7,8,3,26,12,8,5,2,19,3,13.16014184397163,1,63.829787234042556
"Very ripe and extracted, just oozing the flavors of melted blackberry jam, black raspberry purée and milk chocolate. A bit sweet, but saved by firm tannins.",wine_taster,4,27,156,5.777777777777778,5,9,5,3,5,2,21,10,7,2,3,9,1,12.533333333333331,2,70.37037037037037
"The fruit scents explode from the glass, showing raspberries, blueberries, cherries and plums in profusion. There is more stuffing, especially apparent in the nose and also in the mouth, than in the winery's varietal blends. The back end of the wine suggests bread and chocolate, light hints of toasted almond and cinnamon spice.",wine_taster,3,54,329,6.092592592592593,9,20,10,6,5,3,24,19,5,1,3,22,3,16.26611111111111,3,62.96296296296296
"Verging on orange in color, this intensely botrytized wine from one of Germany's unique grape varieties is thick, almost chewy with extract and sugar. Dried apricot aromas lead into orange marmalade flavors with an almost burnt, caramelized quality. Finishes long, with a hint of bitterness that helps balance some of the intense sweetness.",wine_taster,3,54,340,6.296296296296297,7,15,7,10,6,3,28,16,7,4,2,18,3,17.22555555555556,4,64.81481481481481
"Aromas of peach, lime and mineral make a first-rate initial impression, and are then followed by zesty citrus flavors that enhance rather than overpower the briny minerality. It's 13% alcohol, but maintains a wonderful balance of alcohol, acid and just a hint of sugar. Long and mouthwatering on the finish.",wine_taster,3,52,307,5.903846153846154,9,16,7,8,6,3,32,7,8,5,5,20,1,15.04378205128205,4,65.38461538461539
"Compared to Highlands' regular Cab, this is a great example of sometimes, more is less. The '06 Reserve is a gigantic wine, both in ripely extracted currants and in the taste of new, smoky oak. But it's very size makes it ponderous. The question is one of ageability. It could well be a sleeper. Try beyond 2010.",wine_taster,2,58,312,5.379310344827586,12,9,10,11,8,6,24,4,4,2,3,25,8,8.739885057471263,4,55.172413793103445
"The nose has a ripe plum and savory spice character in this sophisticated red. On the palate, cedar, mocha and pepper give it a rich, brooding quality. Tannins are fine but ageable. The finish is lingering and spicy. Pair now with richer meat dishes; give it a few years to age and it will be even better.",wine_taster,3,57,305,5.350877192982456,9,18,9,9,9,5,21,6,5,3,3,26,5,9.472631578947368,2,66.66666666666666
"This big, buttery Chardonnay will especially appeal to those who like California-style flavors; here enhanced with the firm acids characteristic of Washington State. There is a generous streak of vanilla cream, a soft and very buttery mouthfeel, yet the fruit has enough precision and focus that the wine does not lose definition. Delicious now, this is a wine to drink over the next three or four years.",wine_taster,7,68,404,5.9411764705882355,9,14,11,10,7,3,32,17,8,5,3,30,6,17.886274509803926,8,57.35294117647059
"Negociant Hughes continues to produce compelling wines at everyday prices. This Syrah, from one of Napa Valley's best mountain regions, is dry and thick in refined tannins. But it's so rich in black currants, black cherries, chocolate, pepper and sweet, smoky oak that it's delicious now.",wine_taster,5,49,288,5.877551020408164,9,10,9,5,13,3,26,11,5,2,7,13,6,14.419931972789115,2,61.224489795918366
"Liquid smoke, brimstone, tar, asphalt, licorice and mesquite follow dense aromas of black cherry, dried currants and mature plums. The wine is on the ripe, chewy side but ultimately finds balance thanks to its naturally firm tannins and fruity freshness.",wine_taster,5,40,254,6.35,8,19,9,3,7,2,25,23,11,1,4,11,2,18.478499999999997,2,77.5
"Ripe, elegant wine, balancing fresh currant and red plum fruits against a mineral, dry structure. The acidity, the pure fruits and the solid tannins all work harmoniously together.",wine_taster,4,28,180,6.428571428571429,6,10,6,1,7,2,19,15,6,1,5,8,2,15.848571428571425,2,71.42857142857143
"This is a vibrant and fresh Brunello that offers a thick layer of plush fruit backed by shadings of spice, leather and cola. The mouthfeel is succulent and chewy and the tannins give the wine dimension and backbone. Drink now through 2015.",wine_taster,3,42,239,5.690476190476191,4,11,6,7,6,3,25,5,6,3,5,19,4,12.372142857142855,1,59.523809523809526
"Here's a strongly flavored Merlot, made with ultraripe fruit. If it didn't have a good structure, the blackberry, currant, mocha and anise flavors alone would make it a fruit bomb. Fortunately, fine acidity and gorgeously thick tannins give it structure and backbone. Best for a year or two.",wine_taster,4,50,291,5.82,9,13,6,9,4,4,26,7,7,5,1,16,3,12.232199999999999,7,66.0
"One sniff announces a wood pile's worth of toasty, dusty oak. But there's all the bold Tempranillo fruit and classic RDD terroir here to absorb it. Ripe as can be on the palate, with equal parts mulled black fruit, spice and mocha. It finishes smooth, with generous extract but nothing grating or grabby. Drink now through 2012.",wine_taster,7,59,328,5.559322033898305,9,16,7,9,8,5,19,5,5,3,3,21,5,10.654406779661016,3,61.016949152542374
"This broad, mouthfilling dry Riesling features powerful flavors of baked apple and dried spices, uplifted and amplified by oily, minerally accents. It's just a touch off-dry, balanced on the finish by crisp acids and pronounced minerality.",wine_taster,4,38,239,6.2894736842105265,7,9,8,6,7,2,25,20,5,3,5,11,2,17.693421052631585,4,68.42105263157895
"The relatively low residual sugar in this wine gives it a leaner feel than Mosbacher's other 2007s, but the fruit comes through as lime, grapefruit and passion fruit, marked by Forst's prominent minerality. Very crisp and long; would pair well with many seafood dishes.",wine_taster,3,46,269,5.8478260869565215,6,11,6,5,8,2,39,13,9,3,5,16,2,17.613260869565217,3,58.69565217391305
"From a little-known region of Western Australia, this is a restrained, structured example of Chardonnay that may drink well for 5–6 years. Subtle vanilla and bacon shadings upfront add nuance to the melon and pear aromas. Flavors are of soft, fully ripe tree fruit and melon, but held in check by citrusy notes and crisp acids.",wine_taster,7,58,327,5.637931034482759,8,18,10,8,7,3,27,15,3,4,3,20,5,14.79132183908046,3,62.06896551724138
"This is a great Chianti Classico Riserva that offers everything you look for in a wine from Tuscany. There's freshness and pristine cherry aromas along with spice, black mineral and fresh acidity on the close. The wine is approachable, soft and ultimately very food-friendly.",wine_taster,6,46,275,5.978260869565218,6,11,7,5,9,3,20,13,7,1,3,18,6,14.394275362318844,2,58.69565217391305
"One thing we've discovered about Tenuta La Fuga is that it performs evenly, year after year, despite climatic variations and extremes. That's a telltale sign of good winemaking and this Brunello delivers a sure bet to consumers thanks to its soft, supple mouthfeel and lingering aromas of succulent cherry and spice.",wine_taster,2,53,316,5.962264150943396,5,14,10,7,8,2,33,25,9,3,7,17,5,19.902264150943395,1,56.60377358490566
"Enzo Tiezzi has perfected his classic, traditional Brunello and delivers a tonic and fresh wine that would pair magically with hearty meat or pasta dishes that need to be broken down with extra acidity. On the nose, it shows aromas of sweet spice, almond, vanilla, caramel and wild berries.",wine_taster,5,49,290,5.918367346938775,7,13,9,9,10,2,36,20,6,8,8,18,4,18.695510204081636,1,67.3469387755102
"Ripe, fruity and delicious. Flatters with deep, long flavors of blackberries, black currants, cassis and cedar, with a lush, tannic mouthfeel and long finish. Nice now, and should develop beyond 2012.",wine_taster,4,31,200,6.451612903225806,10,9,4,2,8,3,26,6,8,0,6,9,3,14.123763440860216,1,64.51612903225806
"This modern vineyard-designate Riserva offers toasted notes of spice, nut and crème caramel. There are fruit notes in there too that are surrounded by mineral and earthy shadings. The mouthfeel is gritty, firm and persistent.",wine_taster,3,37,225,6.081081081081081,6,11,3,6,7,3,17,9,6,2,2,15,4,13.37855855855856,3,72.97297297297297
"Franco Pacenti makes excellent use of wood, resulting in a Brunello that shows fine balance between fruit and spice. The wine exhibits a slightly brownish hue but brings bright freshness and acidity to the table. Pair it with pasta or cheese risotto.",wine_taster,3,42,250,5.9523809523809526,4,13,9,6,5,3,21,8,5,3,3,15,5,13.605714285714285,1,59.523809523809526
"Made 50/50 from Cabernet Franc and Cabernet Sauvigon, this dry, orange-pink-colored wine has an appreciable amount of tannin as well as plenty of fruit. Acidity and ripe raspberries show strongly, as well as crisp final acidity. Drink now.",wine_taster,7,41,239,5.829268292682927,8,9,6,5,6,3,31,3,6,3,3,12,6,12.859186991869919,6,63.41463414634146
"This wine has ripe red fruit flavors, a dry core, balanced tannins and plenty of acidity at the end. Drink now. The Maurin family's organic vineyards have all permitted grapes in Bordeaux, which is a good thing In a difficult vintage. This blend is Merlot (60%), Carmenère (15%), Petit Verdot (15%) and Malbec (10%).",wine_taster,7,56,316,5.642857142857143,21,18,10,6,8,5,28,3,5,1,0,19,11,10.747857142857143,1,58.92857142857143
"This wine is structured although it does have plenty of ripe and full of berry fruits. Drink from 2017. The blend includes 50% Merlot, 40% Cabernet Sauvignon and 10% Cabernet Franc.",wine_taster,3,31,181,5.838709677419355,7,8,6,6,2,3,17,4,4,1,0,11,8,11.236989247311826,0,51.61290322580645
"This wine is light and fruity, well balanced with plenty of red berry flavors and only light tannins. It will be fresh and ready to drink from late 2016. The 30-acre vineyard on one of the appellation's highest spots was bought in 2009 by Denis Durantou, the owner of Château l'Église Clinet in Pomerol.",wine_taster,5,58,303,5.224137931034483,5,11,8,7,6,3,28,12,4,2,1,23,7,12.842356321839084,2,44.827586206896555
"With plenty of weight to support the ripe fruits, this is a balanced, perfumed wine. It has structure and tannins, along with fresh black currant flavors in the 80/20 Merlot/Cabernet Sauvignon blend. Drink from 2016.",wine_taster,5,37,216,5.837837837837838,7,9,3,5,4,3,21,4,5,1,2,14,4,12.232882882882883,0,48.64864864864865
"This soft, gentle sparkling wine is fresh with raspberry fruits and acidity at the end. Drink as an apéritif.",wine_taster,3,20,109,5.45,3,7,4,2,3,2,17,5,5,2,3,8,2,9.2395,0,60.0
"Lemon and herb aromas suggest a lean, crisp wine but the flavors are fairly ripe and the texture is rich and soft. Appley, floral and not at all tart, this is pleasant to sip.",wine_taster,4,34,175,5.147058823529412,5,7,4,5,7,2,24,15,6,3,5,16,1,11.312647058823536,4,67.64705882352942
Light aromas of passion fruit and grapefruit are followed by tropical flavors that linger. It's an easy drinking quaffer.,wine_taster,4,20,121,6.05,2,8,4,3,4,2,15,7,6,2,3,6,1,12.0655,0,75.0
"Vivid plum and prune aromas and flavors define this generous and rather soft-textured wine. The fruit component is so rich it's jammy, and the tannins are very mild. The overall effect is grapy, almost sweet.",wine_taster,5,37,208,5.621621621621622,6,9,6,7,8,3,17,9,3,3,3,13,3,11.214504504504504,4,75.67567567567568
